assigned_number,description,points,extra_points_available,extra_points_received,drop_number
1,Tälta hos en lärare över en hel natt (minst kl 20 – 6) 40p (minst 5 deltagare under hela perioden),40,false,0,2
2,Gör en big mac själv på donken 5p,5,false,0,2
3,Uppträd på valfritt sätt på gatan och tjäna 50kr från främlingar. 20p,20,false,0,2
4,Kör bil från Västerås till Danmark och tillbaka på 24 timmar 100p,100,false,0,2
5,Gör en drink med komjölk direkt från en ko och drick upp den 10p,10,false,0,2
6,Ring en förälder och säg att man är gravid eller har gjort någon gravid. 10p,10,false,0,2
7,Utmana en 10 åring eller yngre på pullups i stan och den måste acceptera 10p,10,false,0,2
8,Baka i skolan under skoltid 5p,5,false,0,2
9,Ta ett shot med någon från 2an eller yngre 10p,10,false,0,2
10,Gå 100 000 steg på en dag 70p,70,false,0,2
11,"Gör en musikal, uppträd live i skolan i matsalen under lunchen minst 5 minuter (minst 5 personer, kan bara göras engång per klass) 20p",20,false,0,2
12,Gör en flashmob (med minst 10 deltagande och en hel låt) 20p,20,false,0,2
13,Äta kattmat/hundmat blötmat (en matsked) 10p,10,false,0,2
14,Låtsas ha sex i skoltoan så det hörs (motsatt kön) under skoltid 30p,30,false,0,2
15,Sjunga karaoke högt i en butik där det finns mycket folk 5p (Kriterium: Minst 30 sekunder ska framföras i samma volym (högt). Med mycket folk ska det vara minst 30 personer inom en 30 m diameter.),5,false,0,2
16,Krypa över ett övergångställe så att en bil får vänta 5p (10 bonuspoäng om bilen börjar tuta),5,true,0,2
17,Gå till en frisör och fråga om de kan klippa könshår (inte någon frisör i skolan) 20p,20,false,0,2
18,Återanvänd någon annans snus efter de har använt den 10p,10,false,0,2
19,Gör en drink på en bar 10p,10,false,0,2
20,Fråga om polisen vill ha droger 20p,20,false,0,2
21,Ta en shot från slaskbrickan på olerys 10p,10,false,0,2
22,Videohälsning av någon med över 1 miljon följare 20p,20,false,0,2
23,För vidare ett rått ägg mun mot mun mellan minst tre personer i klassen och sista ska svälja 20p (kan bara göras en gång per klass),20,false,0,2
24,"Ladda ner tinder, boka en dejt med 2 personer (av samma kön) samtidigt på samma ställe (försök få de att dejta varandra) 50p",50,false,0,2
25,Strula med 5 personer samma kväll 10p (10 bonuspoäng om alla 5 är av motsatt kön),10,true,0,2
26,Drick 24st öl /cider (33cl 5%/4.5%) på 12 h (en person) 50p,50,false,0,2
27,"Håll en halv promilles alkoholhalt konstant under en hel skoldag, (alkoholmätare) 30p",30,false,0,2
